Paper Name,Link,Year,Type,Analysed,MSR,SA,MSR4SA,Rank,Data Extraction,Note,Description,
A Systematic Analysis of Software Architecture Visualization Techniques,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5970175,2011,ICPC,No,No,Yes,No,,,,"This research aims at studying current visualization techniques and practices to propose a set of principles for designing effective software architecture visualization techniques, focusing on their support for program comprehension",
A Unified Framework for Studying Architectural Decay of Software Systems,https://www-proquest-com.proxy-ub.rug.nl/docview/1636536295?pq-origsite=gscholar&fromopenview=true,2014,Thesis,No,Yes,Yes,Yes,Not ranked,,,"This framework includes a catalog comprising an expansive list of architectural smells (i.e., architectural-decay instances) and a means of identifying such smells in software architectures; a framework for constructing ground-truth architectures to aid the evaluation of automated recovery techniques; ARC, a novel recovery approach that is accurate and extracts rich architectural abstractions; and ARCADE, a framework for the study of architectural change and decay",
DECOR: A Method for the Specification and Detection of Code and Design Smells,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5196681,2010,IEEE Transactions on Software Engineering,No,Yes,No,No,,,"Design smells, so possibly SA","They propose three contributions to the research field related to code and design smells: (1) DECOR, a method that embodies and defines all the steps necessary for the specification and detection of code and design smells, (2) DETEX, a detection technique that instantiates this method, and (3) an empirical validation in terms of precision and recall of DETEX",
Forward and reverse repair of software architecture,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/781995.782007,1999,CASCON,No,Yes,Yes,Yes,Not ranked,,1 case study,They present an approach to repair an architecture of a software system,
Evolving Object-Oriented Designs with Refactorings,https://link-springer-com.proxy-ub.rug.nl/content/pdf/10.1023/A:1008715808855.pdf,2001,Automated Software Engineering,No,Yes,Yes,Yes,A*,Yes (Dennis),1 system,They evaluate whether refactoring technology can be transferred to the mainstream by reconstructing non-trivial C++ applications,
Refinement of information flow architectures,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/630427,1997,ICFEM,No,No,Yes,No,,,,A calculus is presented for the stepwise refinement of abstract information flow architectures,
A framework for software architecture refactoring using model transformations and semantic annotations,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/1602365,2006,CSMR,No,No,Yes,No,,,,"In this paper, they introduce an approach for refactoring software architecture artifacts using model transformations and quality improvement semantic annotations",
Striffs: Architectural Component Diagrams for Code Reviews,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/9392939,2021,ICCQ,No,No,Yes,No,,,,"They present striff diagrams, which visually communicate the architectural effect of an incoming code change on a software system using UML-like class diagrams",
An empirical study of tactical vulnerabilities,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0164121218302322,2019,Journal of Systems and Software,No,Yes,Yes,Yes,A,,,"In this work, they present the Common Architectural Weakness Enumeration (CAWE), a catalog of known weaknesses rooted in the design or implementation of security tactics which can result in tactical vulnerabilities",
A Catalog of Security Architecture Weaknesses,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7958491,2017,ICSAW,Yes,,,,,,,"It is part of the ICSA conference, so it is already analysed",
Achilles' heel of plug-and-Play software architectures: a grounded theory based approach,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/3338906.3338969,2019,ESEC/FSE,No,Yes,Yes,Yes,A*,,,"In this paper, they use a grounded theory-based approach to conduct an empirical study of common vulnerabilities in plug-and-play architectures",
Improving security using extensible lightweight static analysis,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/976940,2002,IEEE Software,No,No,No,No,,,,This article describes an extensible tool that uses lightweight static analysis to detect common security vulnerabilities,
Towards Practical Reactive Security Audit Using Extended Static Checkers,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6547100,2013,IEEE Symposium on Security and Privacy,No,No,Yes,No,,,,"This paper describes the authors' experience of performing reactive security audit of known security vulnerabilities in core operating system and browser COM components, using an extended static checker HAVOCLITE",
Abstract Syntax from Concrete Syntax,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/610346,1997,ICSE,No,No,No,No,,,,This report describes a transfromation process that produces a good abstract representation from a low-level contrete syntax specification,
The program dependence graph and its use in optimization,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/24039.24041,1987,ACM Transactions on Programming Languages and Systems,No,No,No,No,,,,"In this paper they present an intermediate program representation, called the program dependence graph (PDG), that makes explicit both the data and control dependences for each operation in a program",
Hierarchical agglomerative clustering procedure,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/0031320379900499?via%3Dihub,1979,Pattern Recognition,No,No,No,No,,,,"In this paper the hierarchical agglomerative clustering procedure with the dissimilarity coefficient D [HACP, D] and the definite hierarchical clustering procedure [DHACP, D] including some of the published hierarchical clustering methods are introduced",
Graph similarity scoring and matching,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0893965907001012?via%3Dihub,2008,Applied Mathematics Letters,No,No,No,No,,,,"They outline a class of graph similarity measures that uses the structural similarity of local neighborhoods to derive pairwise similarity scores for the nodes of two different graphs, and present a related similarity measure that uses a linear update to generate both node and edge similarity scores",
SimRank: a measure of structural-context similarity,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/775047.775126,2002,KDD,No,No,No,No,,,,"The propose a complementary approach, applicable in any domain with object-to-object relationships, that measures similarity of the structural context in which objects occur, based on their relationships with other objects",
Personalized recommendation in social tagging systems using hierarchical clustering,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1454008.1454048,2008,RecSys,No,No,No,No,,,,They present a personalization algorithm for recommendation in folksonomies which relies on hierarchical tag clusters,
Agglomerative clustering of a search engine query log,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/347090.347176,2000,KDD,No,No,No,No,,,,This paper introduces a technique for mining a collection of user transactions with an Internet search engine to discover clusters of similar queries and similar URLs,
Cluster merging and splitting in hierarchical clustering algorithms,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/1183896,2002,IEEE International Conference on Data Mining,No,No,No,No,,,,They provide a comprehensive analysis of selection methods and propose several new methods,
Stacy-static code analysis for enhanced vulnerability detection,https://www-tandfonline-com.proxy-ub.rug.nl/doi/full/10.1080/23311916.2017.1335470,2017,Cogent Engineering,No,No,No,No,,,,"In this paper, they present Stacy--a tool that statically detects potential security vulnerabilities present in input source code",
Combining Static and Dynamic Analysis to Discover Software Vulnerabilities,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5976182,2011,International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing,No,No,No,No,,,,This paper describes a novel approach to overcome the limitation of traditional dynamic taint analysis by integrating static analysis into the system and presents framework SDCF,
Towards a software vulnerability prediction model using traceable code patterns and software metrics,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8115724,2017,ASE,No,Yes,Yes,Yes,A*,,,This study explores the performance of some code patterns in vulnerability prediction and compares them with traditional software metrics,
Modeling and Discovering Vulnerabilities with Code Property Graphs,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6956589,2014,IEEE Symposium on Security and Privacy,No,Yes,No,No,,,,"In this paper, they present a method to effectively mine large amounts of source code for vulnerabilities",
Applying Dataflow Analysis to Detecting Software Vulnerability,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4493756,2008,International Conference on Advanced Communication Technology,No,Yes,No,No,,,,"In this paper, they propose a software vulnerability checker which takes rules describing vulnerability patterns and a source program as input and detects locations and paths of the patterns in the program",
An automatic method for assessing the versions affected by a vulnerability,https://link-springer-com.proxy-ub.rug.nl/article/10.1007/s10664-015-9408-2,2015,Empirical Software Engineering,No,Yes,No,No,,,,"In this work, they propose an automated method to determine the code evidence for the presence of vulnerabilities in retro software versions",
"Evaluating Complexity, Code Churn, and Developer Activity Metrics as Indicators of Software Vulnerabilities",https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5560680,2011,IEEE Transactions on Software Engineering,No,Yes,No,No,,,,They investigated whether software metrics obtained from source code and development history are discriminative and predictive of vulnerable code locations,
Mining input sanitization patterns for predicting SQL injection and cross site scripting vulnerabilities,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6227096,2012,ICSE,No,Yes,No,No,,,,"In this paper, they classify various input sanitization methods into different types and propose a set of static attributes that represent these types",
Identifying casualty changes in software patches,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/3468264.3468624,2021,ESEC/FSE,No,Yes,No,No,,,,They develop an automated technique for automatically identifying casualty changes,
"So Many Apps, So Much More Time for Entertainment",https://www.nielsen.com/us/en/insights/article/2015/so-many-apps-so-much-more-time-for-entertainment/,2015,Article,No,No,No,No,,,,This study investigates the increasing popularity of apps,
"FlowDroid: precise context, flow, field, object-sensitive and lifecycle-aware taint analysis for Android apps",https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2666356.2594299,2014,ACM SIGPLAN Notices,No,Yes,No,No,,,,In this work they present a novel and highly precise static taint analysis for Android applications,
PScout: analyzing the Android permission specification,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2382196.2382222,2012,CCS,No,Yes,No,No,,,,"In this paper, they perform an analysis of the permission system of the Android smartphone OS",
COVERT: Compositional Analysis of Android Inter-App Permission Leakage,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7079508,2015,IEEE Transactions on Software Engineering,No,Yes,No,No,,,,"In this paper, they present COVERT, a tool for compositional analysis of Android inter-app vulnerabilities",
"Practical, Formal Synthesis and Automatic Enforcement of Security Policies for Android",https://ieeexplore-ieee-org.proxy-ub.rug.nl/abstract/document/7579768,2016,DSN,No,Yes,No,No,,,,This paper presents an approach that allows the end-users to safeguard a given bundle of apps installed on their device from such attacks,
Detection of Design Flaws in the Android Permission Protocol Through Bounded Verification,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-319-19249-9_6,2015,FM,No,Yes,No,No,,,,"In this paper, they perform an analysis of the permission protocol implemented in Android",
Flexible and fine-grained mandatory access control on Android for diverse security and privacy policies,https://www.researchgate.net/publication/262206630_Flexible_and_fine-grained_mandatory_access_control_on_Android_for_diverse_security_and_privacy_policies,2013,USENIX conference on Security,No,No,Yes,No,,,,In this paper they tackle the challenge of providing a generic security architecture for the Android OS that can serve as a flexible and effective ecosystem to instantiate different security solutions,
Analyzing inter-application communication in Android,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1999995.2000018,2011,MobiSys,No,Yes,No,No,,,,They examine Android application interaction and identify security risks in application components,
Automatic Static Unpacking of Malware Binaries,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5328814,2009,WCRE,No,No,No,No,,,,This paper discusses an approach that relies on static analysis technique to automate the process of analyzing new malware,
Privilige Escalation Attacks on Android,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-18178-8_30,2010,ISC,No,No,No,No,,,,In this paper they show that a privilege escalation attack on Android is possible,
Messing with Android's Permission Model,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6296014,2012,"IEEE International Conference on Trust, Security and Privacy in Computing and Communications",No,No,No,No,,,,In this paper they focus on the permission model of Google's Android platform,
Permission based Android security: Issues and countermeasures,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0167404814000261,2014,Computers & Security,No,No,No,No,,,,"In this paper, they investigate the arising issues in Android security, including coarse granularity of permissions, incompetent permission administration, insufficient permission documentation, over-claim of permission, permission escalation attack, and TOCTOU (Time of Check to Time of Use) attack",
Permission re-delegation: attacks and defenses,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/2028067.2028089,2011,SEC,No,No,No,No,,,,"They discuss possible ways to address permission redelegation and present IPC Inspection, a new OS mechanism for defending against permission re-delegation",
SCanDroid: Automated security certification of Android applications,https://www.researchgate.net/publication/228847936_SCanDroid_Automated_security_certification_of_Android_applications,2009,Article,No,No,No,No,,,,"In this paper they present SCANDROID, a tool for reasoning automatically about the security of Android applications",
Android taint flow analysis for app sets,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2614628.2614633,2014,SOAP,No,No,No,No,,,,This paper describes a new static taint analysis for Android that combines and augments the FlowDroid and Epicc analyses to precisely track both inter-component and intra-component data flow in a set of Android applications,
IccTA: Detecting Inter-Component Privacy Leaks in Android Apps,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7194581,2015,ICSE,No,Yes,No,No,,,,"They propose IccTA, a static taint analyzer to detect privacy leaks among components in Android applications",
Facing Multi-Domain Complexity in Product Development,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-540-69820-3_35,2007,The Future of Product Development,No,No,No,No,,,,"This paper introduces a methodology for analysis, interpretation, and optimization of complex systems compromising of interdependencies between several domains",
CHEX: Statically Vetting Android Apps for Component Hijacking Vulnerabilities,https://dl-acm-org.proxy-ub.rug.nl/doi/pdf/10.1145/2382196.2382223,2012,Conference on Computer and communications security,No,Yes,No,No,,,,"They propose CHEX, a static analysis method to automatically vet Android apps for component hijacking vulnerabilities",
"AndroTotal: a flexible, scalable toolbox and service for testing mobile malware detectors",https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2516760.2516768,2013,SPSM,No,No,No,No,,,,"They present AndroTotal, a publicly available tool, malware repository and research framework that allows researchers to automatically scan Android apps against an arbitrary set of malware detectors",
Effective inter-component communication mapping in Android with Epicc: an essential step towards holistic security analysis,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/2534766.2534813,2013,SEC,No,Yes,No,No,,,,"In this paper, they reduce the discovery of inter-component communication (ICC) in smartphones to an instance of the Interprocedural Distributive Environment (IDE) problem, and develop a sound static analysis technique targeted to the Android platform",
Composite Constant Propagation: Application to Android Inter-Component Communication Analysis,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7194563,2015,ICSE,No,Yes,No,No,,,,"In this paper, they introduce the problem of composite constant propagation",
Execute This! Analyzing Unsafe and Malicious Dynamic Code Loading in Android Applications,https://www.ndss-symposium.org/ndss2014/programme/execute-analyzing-unsafe-and-malicious-dynamic-code-loading-android-applications/,2014,NDSS Symposium,No,Yes,No,No,,,,"Android allows applications to load additional code from external sources at runtime. They demonstrate that this introduces vulnerabilities in a considerable number of benign applications, while it allows malware to evade offline analysis systems, such as the Google Bouncer",
The protection of information in computer systems,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/1451869,1975,Proceedings of the IEEE,No,No,Yes,No,,,,This tutorial paper explores the mechanics of protecting computer-stored information from unauthorized use of modification,
Automated Detection of Least Privilege Violations in Software Architectures,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-15114-9_13,2010,ECSA,Yes,,,,,,,"It is part of the ECSA conference, so it is already analyzed",
Architecture Modeling and Analysis of Security in Android Systems,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-319-48992-6_21,2016,ECSA,Yes,,,,,,,"It is part of the ECSA conference, so it is already analyzed",
"Kynoid: Real-Time Enforcement of Fine-Grained, User-Defined, and Data-Centric Security Policies for Android",https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-30955-7_18,2012,WISTP,No,No,No,No,,,,"They introduce Kynoid, a real-time monitoring and enforcement framework for Android",
A Small But Non-negligible Flaw in the Android Permission Scheme,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5630227,2010,IEEE International Symposium on Policies for Distributed Systems and Networks,No,No,No,No,,,,"They explain how they found a security flaw in Android, demonstrate an exploit example, and discuss the solution",
Security Enhanced (SE) Android: Bringing Flexible MAC to Android ,https://www.researchgate.net/publication/336956913_Security_Enhanced_SE_Android_Bringing_Flexible_MAC_to_Android,2013,NDSS Symposium,No,No,No,No,,,,"In this paper, they motivate and describe their work to bring flexible mandatory access control (MAC) to Android by enabling the effective use of Security Enhanced Linux (SELinux) for kernel-level MAC and by developing a set of middleware MAC extensions to the Android permissions model",
The design structure system: A method for managing the design of complex systems,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6448589,1981,IEEE Transactions on Engineering Management,No,No,No,No,,,,"This paper shows how the techniques of Design Structure System can be applied to organize the design of a system, to develop an effective engineering plan, to show where estimates are required, and to analyze the flow of information that occurs during the design work",
DeepDroid: Dynamically Enforcing Enterprise Policy on Android Devices,https://www.ndss-symposium.org/ndss2015/ndss-2015-programme/deepdroid-dynamically-enforcing-enterprise-policy-android-devices/,2015,NDSS Symposium,No,No,No,No,,,,"In this paper, they present DeepDroid, a dynamic enterprise security policy enforcement scheme on Android device",
Amandroid: A Precise and General Inter-component Data Flow Analysis Framework for Security Vetting of Android Apps,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/3183575,2018,ACM Transactions on Privacy and Security,No,Yes,No,No,,,,They present a new approach to static analysis for security vetting of Android apps and a general framework called Amandroid,
Dissecting Android Malware: Characterization and Evolution,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6234407,2012,IEEE Symposium on Security and Privacy,No,No,No,No,,,,"In this paper, they focus on the Android platform and aim to systematize or characterize existing Android malware",
DINA: Detecting Hidden Android Inter-App Communication in Dynamic Loaded Code,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/9017933,2020,IEEE Transactions on Information Forensics and Security,No,Yes,No,No,,,,"They present DINA, a novel hybrid analysis approach for identifying malicious IAC behaviors concealed within dynamically loaded code through reflective/DCL calls",
Detecting Vulnerable Android Inter-App Communication in Dynamically Loaded Code,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8737637,2019,INFOCOM,No,Yes,No,No,,,,"In this paper, they present DINA, a novel hybrid analysis approach for identifying malicious IAC behaviors concealed within dynamically loaded code through reflective/DCL calls",
"Efficient, Evolutionary Security Analysis of Interacting Android Apps",https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8530043,2018,ICSME,No,Yes,No,No,,,,"They present a novel technique, dubbed FLAIR, for efficient, yet formally precise, security analysis of Android apps in response to incremental system changes",
Flair: efficient analysis of Android inter-component vulnerabilities in response to incremental changes,https://link-springer-com.proxy-ub.rug.nl/article/10.1007/s10664-020-09932-6,2021,ICSME,No,Yes,No,No,,,,"This paper presents a novel technique, dubbed FLAIR, for efficient, yet formally precise, security analysis of Android apps in response to incremental system changes",
Privacy Analysis of COVID-19 Contact Tracing Apps in the EU,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-030-70852-8_13,2020,NordSec,No,Yes,No,No,,,,This paper presents results from a privacy analysis of COVID-19 contact tracing apps developed within the EU,
Analyzing Defense Strategies Against Mobile Information Leakages: A Game-Theoretic Approach,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-030-32430-8_17,2019,GameSec,No,No,No,No,,,,"This paper employs a game theory, specifically, signaling games, to formally model the strategic interactions between mobile applications attempting to access zero-permission sensors and an on-board defense mechanism attempting to regulate this access",
Self-Protection of Android Systems from Inter-Component Communication Attacks,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/9000045,2018,ASE,No,No,No,No,,,,"They have developed SALMA, a novel self-protecting Android software system that monitors itself and adapts its behavior at runtime to prevent a wide-range of security risks",
QRFence: A flexible and scalable QR link security detection framework for Android devices,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0167739X17324160?via%3Dihub,2018,Future Generation Computer Systems,No,Yes,No,No,,,,"This paper proposes a threat-oriented QR malicious link detection framework, QRFence, based on a novel machine learning-based link threat-degree evaluation model",
A formal approach for detection of security flaws in the android permission system,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1007/s00165-017-0445-z,2018,ASE,No,No,No,No,,,,"In this paper, they perform an analysis of the permission protocol implemented in Android",
Decision-making techniques for software architecture design: A comparative survey,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1978802.1978812,2011,ACM Computing Surveys,No,No,Yes,No,,,,"In this article, they provide a comparison of existing decision-making techniques, aimed to guide architects in their selection",
Locating faulty code using failure-inducing chops,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1101908.1101948,2005,ASE,No,Yes,No,No,,,,"In this paper, they present a new approach that integrates the potential of delta debugging algorithm with the benefit of forward and backward dynamic program slicing to narrow down the search for faulty code",
Refactoring Support Based on Code Clone Analysis,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-540-24659-6_16,2004,PROFES,No,Yes,No,No,,,,"In this paper, they propose a method which removes code clones from object oriented software by using existing refactoring patterns, especially ""Extract Method"" and ""Pull Up Method""",
Visualization of test information to assist fault location,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/581339.581397,2002,ICSE,No,Yes,No,No,,,,This paper presents a new technique that uses visualization to assist with locating the errors or faults,
Experience with performing architecture tradeoff analysis,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/840995,1999,ICSE,No,No,Yes,No,,,,"This paper describes the use of a scenario-based and model-based analysis technique for software architectures-called ATAM-that not only analyzes a software architecture with respect to multiple quality attributes, but explicitly considers the tradeoffs inherent in the design",
"Patterns and antipatterns, The patterns handbooks",https://www.amazon.nl/Patterns-Handbook-Techniques-Strategies-Applications/dp/0521648181,1998,Book,No,No,Yes,No,,,,"In this book, articles and essays that illustrate the growing importance of patterns in application development are selected",
SOBER: statistical model-based bug localization,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1095430.1081753,2005,ACM SIGSOFT Software Engineering Notes,No,Yes,No,No,,,,"In this paper, they propose a new statistical model-based approach, called SOBER, which localizes software bugs without any prior knowledge of program semantics",
A Domain Analysis to Specify Design Defects and Generate Detection Algorithms,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-540-78743-3_20,2008,FASE,No,Yes,No,No,,,,"In this paper, they introduce an approach to automate the generation of detecting algorithms from specifications written using a domain-specific language",
A comparative analysis of the efficiency of change metrics and static code attributes for defect prediction,https://ieeexplore-ieee-org.proxy-ub.rug.nl/abstract/document/4814129,2008,ICSE,No,Yes,No,No,,,,In this paper they present a comparative analysis of the predictive power of two different sets of metrics for defect prediction,
Mining metrics to predict component failures,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1134285.1134349,2006,ICSE,No,Yes,No,No,,,,They built regression models that accurately predict the likelihood of post-release defects for new entities,
Analyzing error-prone system structure,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/67595,1991,IEEE Transactions on Software Engineering,No,Yes,No,No,,,,The authors use a set of five tools to calculate the data bindings automatically and use a clustering technique to determine a hierarchical description of each of the system's 77 subsystems,
Identification of Move Method Refactoring Opportunities,https://ieeexplore-ieee-org.proxy-ub.rug.nl/stamp/stamp.jsp?tp=&arnumber=4752842,2009,IEEE Transactions on Software Engineering,No,Yes,No,No,,,,Their approach measures the effect of all refactoring suggestions based on a novel Entity Placement metric that quantifies how well entities have been placed in system classes,
Where to Start: Studying Type Annotation Practices in Python,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/9678947,2021,ASE,No,Yes,No,No,,,,This paper investigates the patterns of non-trivial type-annotation practices and features of type-annotated code files,
Architectural Dependency Analysis: Addressing the Elephant in the Room,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/9378926,2021,Computer,No,Yes,Yes,Yes,A*,,,They applied dependency analysis to safety-critical systems that were re-engineered to reduce safety testing and technology upgrade cost,
Towards Automated Security Design Flaw Detection,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8967432,2019,ASEW,No,No,Yes,No,,,,"In this paper, they analyze an existing catalog of 19 security design flaws in order to identify conceptual, technology-independent requirements on architectural models that enable automatically detecting these flaws",
Towards the Systematic Testing of Virtual Reality Programs,https://www.researchgate.net/publication/344325582_Towards_the_Systematic_Testing_of_Virtual_Reality_Programs_extended_version,2019,SVR,No,Yes,No,No,,,,"This paper presents an overview of the main VR characteristics that can have an impact on verification, validation, and testing (VV&T)",
Investigating Instability Architectural Smells Evolution: An Exploratory Case Study,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8919109,2019,ICSME,No,Yes,Yes,Yes,A,Yes (Dennis),,"This study analyzes the evolution of individual architectural smell instances over time, and the characteristics that define these instances",
Detecting Source Code Hotspot in Games Software Using Call Flow Analysis,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8935822,2019,SNPD,No,Yes,Yes,Yes,C,,,"This paper focuses on game loops as hotspots because many action games, including classic action games and the latest action games for console machines, have an architecture consisting of game loops and update functions",
Investigating the Impact of Multiple Dependency Structures on Software Defects,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8812092,2019,ICSE,No,Yes,Yes,Yes,A*,Yes (Dennis),,"They derived 3 DRSpaces for each of the 117 Apache open source projects, with 643,079 revision commits and 101,364 bug reports in total, and calculated their interactions with defective files",
[Research Paper] Towards Anticipation of Architectural Smells Using Link Prediction Techniques,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8530719,2018,SCAM,No,Yes,Yes,Yes,C,,,"In this work, they explore a forward-looking approach that is able to infer groups of likely module dependencies that can anticipate architectural smells in a future system version",
Identifying Architectural Problems through Prioritization of Code Smells,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7789838,2016,SBCARS,No,Yes,Yes,Yes,Not ranked,,Brazilian,This work presents and evaluates a suite of criteria for prioritizing groups of code smells as indicators of architectural problems in evolving systems,
An Experience Report on Detecting and Repairing Software Architecture Erosion,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7516808,2016,WICSA,Yes,,,,,,,"It is part of the WICSA/ECSA conference, so it is already analyzed",
Towards an Architecture-Centric Approach to Security Analysis,https://ieeexplore-ieee-org.proxy-ub.rug.nl/abstract/document/7516832,2016,WICSA,Yes,,,,,,,"It is part of the WICSA/ECSA conference, so it is already analyzed",
Technical debt resulting from architectural degradation and code smells: a systematic mapping study,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/3512753.3512755?sid=SCITRUS,2021,ACM SIGAPP Applied Computing Review,No,No,Yes,No,,,,This manuscript presents a mapping study of the many aspects of technical debt that have been dicovered in this field of study,
Exploring the Architectural Impact of Possible Dependencies in Python Software,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/9286085,2020,ASE,No,Yes,Yes,Yes,A*,Yes (Dennis),,"They conducted an empirical study with 105 Python projects, using type inference techniques to manifest possible dependencies",
When Are Smells Indicators of Architectural Refactoring Opportunities: A Study of 50 Software Projects,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/3387904.3389276,2020,ICPC,No,Yes,Yes,Yes,A,Yes (Dennis),,"They conducted a retrospective study over the commit history of 50 software projects. They analyzed 52,667 refactored elements to investigate if they had architectural problems that could have been indicated by automatically-detected smells",
Exploring software bug-proneness based on evolutionary clique modeling and analysis,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0950584920301476?via%3Dihub,2020,Information and Software Technology,No,Yes,No,No,,,,"In this paper, they propose a novel model, evolutionary clique (EClique), to characterize evolutionary coupled files as maintainable groups for bug fixes, analyze their bug-proneness and examine the possible causes of the bug-proneness",
A case study on modularity violations in cyber-physical systems,https://onlinelibrary-wiley-com.proxy-ub.rug.nl/doi/10.1002/sys.21530,2020,Systems Engineering,No,Yes,Yes,Yes,C,Yes (Dennis),,They adapted methods from pure-software systems and analyzed two open-source Cyber-Physical Systems: OpenWrt and MD PnP. They found that the software architecture of these systems is well modularized,
A Refactoring Approach for Too Large Packages Using Community Detection and Dependency-based Impacts,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/3362125.3362132,2019,WSSE,No,Yes,Yes,Yes,Not ranked,,,This research proposes a refactoring approach for Too Large Packages smell which is one of the architecture smells by using community detection in extracting process,
PageRank and criticality of architecture smells,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/3344948.3344982,2019,ECSA,Yes,,,,,,,"It is part of the ECSA conference, so it is already analyzed",
Ranking architecturally critical agglomerations of code smells,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0167642318303514?via%3Dihub,2019,Science of Computer Programming,No,Yes,Yes,Yes,A,Yes (Dennis),,This work presents and evaluates a suite of five criteria for ranking groups of code smells as indicators of architectural problems in evolving systems,
